"";"type";"year";"number"
"1";"Stationär";2010;74
"2";"Stationär";2011;163
"3";"Stationär";2012;205
"4";"Stationär";2013;246
"5";"Stationär";2014;323
"6";"Stationär";2015;292
"7";"Stationär";2016;341
"8";"Stationär";2017;403
"9";"Stationär";2018;415
"10";"Stationär";2019;582
"11";"Stationär";2020;570
"12";"Stationär";2021;878
"13";"Stationär";2022;1171
"14";"Stationär";2023;1629
"15";"Stationär";2024;1494
"16";"Stationär";2025;1166
"17";"Friflytande";2014;150
"18";"Friflytande";2015;540
"19";"Friflytande";2016;300
"20";"Friflytande";2017;300
"21";"Friflytande";2018;300
"22";"Friflytande";2019;300
"23";"Friflytande";2020;300
"24";"Friflytande";2021;260
"25";"Friflytande";2022;260
"26";"Friflytande";2023;260
"27";"Totalt";2010;74
"28";"Totalt";2011;163
"29";"Totalt";2012;205
"30";"Totalt";2013;246
"31";"Totalt";2014;473
"32";"Totalt";2015;832
"33";"Totalt";2016;984
"34";"Privat bildelning";2016;343
"35";"Totalt";2017;1307
"36";"Privat bildelning";2017;604
"37";"Privat bildelning";2018;681
"38";"Totalt";2018;1396
"39";"Totalt";2019;2049
"40";"Privat bildelning";2019;1167
"41";"Totalt";2020;2328
"42";"Privat bildelning";2020;1458
"43";"Privat bildelning";2021;1234
"44";"Totalt";2021;2372
"45";"Privat bildelning";2022;1151
"46";"Totalt";2022;2582
"47";"Totalt";2023;3189
"48";"Privat bildelning";2023;1300
"49";"Totalt";2024;2074
"50";"Privat bildelning";2024;580
"51";"Privat bildelning";2025;640
"52";"Totalt";2025;1806
